INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:root:episode     0 complete - reward(new:  248, avg:  290, best:  850)
INFO:root:episode     0 complete - reward(new:  234, avg:  289, best:  850)
INFO:root:episode     0 complete - reward(new:  187, avg:  288, best:  850)
INFO:root:episode     0 complete - reward(new:  194, avg:  287, best:  850)
INFO:root:episode     0 complete - reward(new:  268, avg:  287, best:  850)
INFO:root:episode     0 complete - reward(new:  132, avg:  286, best:  850)
INFO:root:episode     0 complete - reward(new:  346, avg:  286, best:  850)
INFO:root:episode     0 complete - reward(new:   87, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:   97, avg:  282, best:  850)
INFO:root:episode     0 complete - reward(new:  386, avg:  283, best:  850)
INFO:root:episode     0 complete - reward(new:  303, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:  344, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:  398, avg:  285, best:  850)
INFO:root:episode     0 complete - reward(new:  165, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:  162, avg:  283, best:  850)
INFO:root:episode     0 complete - reward(new:  171, avg:  282, best:  850)
INFO:root:episode     0 complete - reward(new:  186, avg:  281, best:  850)
INFO:root:episode     0 complete - reward(new:  172, avg:  280, best:  850)
INFO:root:episode     0 complete - reward(new:  201, avg:  279, best:  850)
INFO:root:episode     0 complete - reward(new:  292, avg:  279, best:  850)
INFO:root:episode     0 complete - reward(new:  185, avg:  278, best:  850)
INFO:root:episode     0 complete - reward(new:  481, avg:  280, best:  850)
INFO:root:episode     0 complete - reward(new:  298, avg:  280, best:  850)
INFO:root:episode     0 complete - reward(new:  421, avg:  282, best:  850)
INFO:root:episode     0 complete - reward(new:  228, avg:  281, best:  850)
INFO:root:episode     0 complete - reward(new:  563, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:  139, avg:  283, best:  850)
INFO:root:episode     0 complete - reward(new:  470, avg:  285, best:  850)
INFO:root:episode     0 complete - reward(new:  219, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:  343, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:  622, avg:  288, best:  850)
INFO:root:episode     0 complete - reward(new:  173, avg:  287, best:  850)
INFO:root:episode     0 complete - reward(new:  331, avg:  287, best:  850)
INFO:root:episode     0 complete - reward(new:  105, avg:  285, best:  850)
INFO:root:episode     0 complete - reward(new:  225, avg:  285, best:  850)
INFO:root:episode     0 complete - reward(new:  255, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:  279, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:  242, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:  157, avg:  283, best:  850)
INFO:root:episode     0 complete - reward(new:  305, avg:  283, best:  850)
INFO:root:episode     0 complete - reward(new:  287, avg:  283, best:  850)
INFO:root:episode     0 complete - reward(new:  259, avg:  283, best:  850)
INFO:root:episode     0 complete - reward(new:  444, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:  355, avg:  285, best:  850)
INFO:root:episode     0 complete - reward(new:  519, avg:  287, best:  850)
INFO:root:episode     0 complete - reward(new:  107, avg:  286, best:  850)
INFO:root:episode     0 complete - reward(new:  306, avg:  286, best:  850)
INFO:root:episode     0 complete - reward(new:  667, avg:  290, best:  850)
INFO:root:episode     0 complete - reward(new:  293, avg:  290, best:  850)
INFO:root:episode     0 complete - reward(new:  158, avg:  288, best:  850)
INFO:root:episode     0 complete - reward(new:  238, avg:  288, best:  850)
INFO:root:episode     0 complete - reward(new:  440, avg:  289, best:  850)
INFO:root:episode     0 complete - reward(new:  253, avg:  289, best:  850)
INFO:root:episode     0 complete - reward(new:  200, avg:  288, best:  850)
INFO:root:episode     0 complete - reward(new:   38, avg:  286, best:  850)
INFO:root:episode     0 complete - reward(new:  228, avg:  285, best:  850)
INFO:root:episode     0 complete - reward(new:  231, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:  423, avg:  286, best:  850)
INFO:root:episode     0 complete - reward(new:  200, avg:  285, best:  850)
INFO:root:episode     0 complete - reward(new:  176, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:  416, avg:  285, best:  850)
INFO:root:episode     0 complete - reward(new:  100, avg:  283, best:  850)
INFO:root:episode     0 complete - reward(new:  128, avg:  282, best:  850)
INFO:root:episode     0 complete - reward(new:  182, avg:  281, best:  850)
INFO:root:episode     0 complete - reward(new:  544, avg:  283, best:  850)
INFO:root:episode     0 complete - reward(new:  198, avg:  283, best:  850)
INFO:root:episode     0 complete - reward(new:  396, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:  314, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:  280, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:  276, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:  306, avg:  284, best:  850)
INFO:root:episode     0 complete - reward(new:  379, avg:  285, best:  850)
